City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Riyadh,SA,24.69,46.72,62.6,21,0,6.93,clear sky
280,Mirnyy,RU,62.54,113.96,23.0,67,0,11.18,clear sky
281,Richards Bay,ZA,-28.78,32.04,68.11,85,87,11.7,overcast clouds
282,Port Lincoln,AU,-34.73,135.87,54.91,63,100,19.98,overcast clouds
283,Marsa Matruh,EG,31.35,27.25,64.4,77,0,3.76,clear sky
284,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,39.2,80,75,2.24,broken clouds
285,Ketchikan,US,55.34,-131.65,44.6,26,1,5.82,clear sky
286,Ancud,CL,-41.87,-73.82,51.01,93,90,8.05,overcast clouds
287,Hellin,ES,38.51,-1.7,52.93,68,0,8.3,clear sky
288,Los Llanos De Aridane,ES,28.66,-17.92,68.0,68,40,9.17,scattered clouds
289,Alta Floresta,BR,-9.88,-56.09,72.16,94,100,3.83,light rain
290,Praxedis Guerrero,MX,31.37,-106.02,71.6,28,5,16.11,clear sky
291,Verkhnyaya Maksakovka,RU,61.63,50.97,24.8,100,90,8.95,snow
292,Saint-Francois,FR,46.42,3.91,50.0,87,40,2.24,scattered clouds
293,Lorengau,PG,-2.02,147.27,85.73,61,90,6.04,overcast clouds
294,Eureka,US,40.8,-124.16,64.4,48,1,17.22,clear sky
295,Dingle,PH,11.0,122.67,75.87,92,100,10.0,overcast clouds
296,Acapulco,MX,16.86,-99.89,84.2,79,75,4.7,broken clouds
297,Bad Sooden-Allendorf,DE,51.28,9.98,52.0,91,68,1.01,broken clouds
298,General Roca,AR,-39.03,-67.58,77.0,44,0,6.93,light rain
299,Vardo,NO,70.37,31.11,37.47,96,100,25.28,overcast clouds
300,Hastings,GB,50.86,0.57,51.01,92,66,15.97,broken clouds
301,Shizuishan,CN,39.23,106.77,49.86,48,96,10.27,overcast clouds
302,Uribia,CO,11.71,-72.27,84.16,70,100,12.88,overcast clouds
303,Half Moon Bay,US,37.46,-122.43,68.0,72,1,9.17,clear sky
304,Ploemeur,FR,47.73,-3.43,55.99,93,0,10.29,clear sky
305,Ekhabi,RU,53.51,142.97,45.1,89,100,36.82,moderate rain
306,Hambantota,LK,6.12,81.12,75.2,100,20,6.93,few clouds
307,Buala,SB,-8.14,159.59,87.03,63,52,5.82,broken clouds
308,Malkapur,IN,20.88,76.2,75.43,71,100,1.68,overcast clouds
309,Necochea,AR,-38.55,-58.74,55.0,88,3,4.0,clear sky
310,Asau,RO,46.43,26.4,46.99,83,98,5.91,overcast clouds
311,Boa Vista,BR,2.82,-60.67,78.8,74,40,4.7,light rain
312,Bandarbeyla,SO,9.49,50.81,76.32,75,93,3.89,overcast clouds
313,Henties Bay,NA,-22.12,14.28,60.01,88,7,5.57,clear sky
314,Raghunathpur,IN,23.55,86.67,73.44,90,48,6.13,scattered clouds
315,Sicamous,CA,50.83,-118.99,36.0,93,100,2.98,overcast clouds
316,Hadsten,DK,56.33,10.05,53.6,93,44,4.7,scattered clouds
317,Lechinta,RO,47.02,24.35,42.8,93,98,1.12,mist
318,Muros,ES,42.78,-9.06,61.0,82,100,20.0,overcast clouds
319,Goderich,CA,43.75,-81.72,52.0,88,100,22.66,overcast clouds
320,Te Anau,NZ,-45.42,167.72,60.37,61,100,10.83,overcast clouds
321,Luba,GQ,3.46,8.55,75.2,100,20,0.63,few clouds
322,Shaoyang,CN,27.23,111.45,62.85,52,7,6.89,clear sky
323,Rio Grande,BR,-32.03,-52.1,64.99,96,100,9.62,overcast clouds
324,Marsh Harbour,BS,26.54,-77.06,79.43,76,0,15.99,clear sky
325,Vieques,PR,18.43,-65.83,82.4,83,20,9.17,few clouds
326,Maniitsoq,GL,65.42,-52.9,27.07,84,0,5.39,clear sky
327,Telenesti,MD,47.5,28.37,48.99,93,100,0.65,mist
328,Kangshan,CN,28.88,116.43,59.61,57,84,9.64,broken clouds
